MM,elevation (ft),grade (%)
58.9,512.072935,0.003773
58.91,512.0775376,0.01366105
58.92,512.0873611,0.0235491
58.93,512.1024054,0.03343715
58.94,512.1226707,0.0433252
58.95,512.1481568,0.05321325
58.96,512.1788639,0.0631013
58.97,512.2147918,0.07298935
58.98,512.2559406,0.0828774
58.99,512.3023103,0.09276545
59,512.3539009,0.1026535
59.01,512.4107124,0.11254155
59.02,512.4727448,0.1224296
59.03,512.5399981,0.13231765
59.04,512.6124722,0.1422057
59.05,512.6901673,0.15209375
59.06,512.7730832,0.1619818
59.07,512.86122,0.17186985
59.08,512.9545778,0.1817579
59.09,513.0531564,0.19164595
59.1,513.1569559,0.201534
59.11,513.2740019,0.29257901
59.12,513.4882927,0.51912882
59.13,513.8222019,0.74567863
59.14,514.2757294,0.97222844
59.15,514.8488751,1.19877825
59.16,515.5416392,1.42532806
59.17,516.3540215,1.65187787
59.18,517.2860222,1.87842768
59.19,518.3376412,2.10497749
59.2,519.5088784,2.3315273
59.21,520.799734,2.55807711
59.22,522.2102078,2.78462692
59.23,523.7403,3.01117673
59.24,525.3900104,3.23772654
59.25,527.0624277,3.07420065
59.26,528.6359872,2.88625204
59.27,530.1103098,2.69830343
59.28,531.4853956,2.51035482
59.29,532.7612445,2.32240621
59.3,533.9378566,2.1344576
59.31,535.0152318,1.94650899
59.32,535.9933701,1.75856038
59.33,536.8722716,1.57061177
59.34,537.6519362,1.38266316
59.35,538.3323639,1.19471455
59.36,538.9135547,1.00676594
59.37,539.3955087,0.81881733
59.38,539.7782258,0.63086872
59.39,540.0617061,0.44292011
59.4,540.2459495,0.2549715
59.41,540.330956,0.06702289
59.42,540.3167257,-0.12092572
59.43,540.2032585,-0.30887433
59.44,539.9905544,-0.49682294
59.45,539.6786135,-0.68477155
59.46,539.2674357,-0.87272016
59.47,538.757021,-1.06066877
59.48,538.1473695,-1.24861738
59.49,537.4384811,-1.43656599
59.5,536.6303558,-1.6245146
59.51,535.7229937,-1.81246321
59.52,534.7163947,-2.00041182
59.53,533.6105588,-2.18836043
59.54,532.4054861,-2.37630904
59.55,531.1017005,-2.5317341
59.56,529.855722,-2.18788124
59.57,528.7912979,-1.84402838
59.58,527.908428,-1.50017552
59.59,527.2071125,-1.15632266
59.6,526.6873513,-0.8124698
59.61,526.3491444,-0.46861694
59.62,526.1924918,-0.12476408
59.63,526.2173935,0.21908878
59.64,526.4238495,0.56294164
59.65,526.8118599,0.9067945
59.66,527.3814245,1.25064736
59.67,528.1325435,1.59450022
59.68,529.0652167,1.93835308
59.69,530.1794443,2.28220594
59.7,531.4752262,2.6260588
59.71,532.9520023,2.942898
59.72,534.5058525,2.942898
59.73,536.0597026,2.942898
59.74,537.6135528,2.942898
59.75,539.1674029,2.942898
59.76,540.721253,2.942898
59.77,542.2751032,2.942898
59.78,543.8289533,2.942898
59.79,545.3828035,2.942898
59.8,546.9366536,2.942898
59.81,548.4905037,2.942898
59.82,550.0443539,2.942898
59.83,551.598204,2.942898
59.84,553.1520542,2.942898
59.85,554.7059043,2.942898
59.86,556.2597544,2.942898
59.87,557.8136046,2.942898
59.88,559.3674547,2.942898
59.89,560.9213049,2.942898
59.9,562.475155,2.942898
59.91,564.0290051,2.942898
59.92,565.5828553,2.942898
59.93,567.1367054,2.942898
59.94,568.6905556,2.942898
59.95,570.2444057,2.942898
59.96,571.7982558,2.942898
59.97,573.352106,2.942898
59.98,574.9059561,2.942898
59.99,576.4598063,2.942898
60,578.0136564,2.942898
60.01,579.5675065,2.942898
60.02,581.1213567,2.942898
60.03,582.6752068,2.942898
60.04,584.229057,2.942898
60.05,585.7829071,2.942898
60.06,587.3367572,2.942898
60.07,588.8906074,2.942898
60.08,590.4444575,2.942898
60.09,591.9983077,2.942898
60.1,593.5521578,2.942898
60.11,595.1060079,2.942898
60.12,596.6598581,2.942898
60.13,598.2137082,2.942898
60.14,599.7675584,2.942898
60.15,601.3214085,2.942898
60.16,602.8752586,2.942898
60.17,604.4291088,2.942898
60.18,605.9829589,2.942898
60.19,607.5368091,2.942898
