Direction,Landmark name,MM,X_WGS84,Y_WGS84,X_TN,Y_TN
eb,eb_BR_off_start,59.12,-86.66297833,36.04745744,1772510.819,624616.7798
eb,eb_BR_off_end,59.27,-86.66085635,36.04623494,1773135.103,624167.5274
eb,eb_BR_underpass,59.42,-86.65867465,36.04514871,1773777.398,623767.7732
eb,eb_BR_on_start,59.65,-86.65564832,36.04318864,1774667.273,623048.2657
eb,eb_HH_off_A_start,59.83,-86.65291509,36.04155864,1775471.342,622449.5177
eb,eb_HH_off_A_end,59.86,-86.65244796,36.04129029,1775608.792,622350.9117
eb,eb_HH_overpass,60.09,-86.64892052,36.03948587,1776647.285,621687.1403
eb,eb_HH_off_B_start,60.19,-86.64766396,36.03839716,1777016.157,621288.3682
eb,eb_HH_on_start,60.43,-86.64459376,36.03573774,1777917.486,620314.3028
eb,eb_HH_on_end,60.7,-86.64129787,36.03278384,1778884.901,619232.6335
eb,eb_OF_overpass,60.83,-86.63947306,36.03140342,1779421.161,618726.6094
eb,eb_OH_off_start,61.95,-86.62792264,36.02078785,1782811.547,614840.2584
eb,eb_OH_off_end,62.33,-86.62337776,36.01671308,1784146.09,613348.3882
eb,eb_OH_overpass,62.55,-86.62023829,36.0141567,1785068.631,612411.9286
eb,eb_OH_on_start,62.86,-86.61681865,36.01083793,1786072.341,611197.4549
eb,eb_OH_on_end,63.07,-86.61431144,36.00858868,1786808.717,610374.0301
wb,wb_BR_on_end,59.09,-86.66369334,36.04824956,1772301.406,624906.5588
wb,wb_BR_on_start,59.28,-86.66046097,36.04636564,1773252.306,624214.3149
wb,wb_BR_underpass,59.39,-86.65919159,36.04545192,1773625.319,623879.1755
wb,wb_BR_off_start,59.54,-86.65706292,36.04440369,1774252.042,623493.3714
wb,wb_HH_on_start,59.89,-86.65180275,36.04135692,1775799.704,622373.8958
wb,wb_HH_overpass,60.06,-86.64939629,36.03975774,1776507.282,621787.0384
wb,wb_HH_off_end,60.21,-86.64714841,36.038448,1777168.705,621305.8689
wb,wb_HH_off_start,60.52,-86.64318533,36.03495857,1778332.037,620027.9326
wb,wb_OF_overpass,60.82,-86.63958067,36.03149404,1779389.558,618759.8056
wb,wb_OH_on_end,61.51,-86.63205826,36.02500361,1781598.491,616382.736
wb,wb_OH_on_start,62.29,-86.62365929,36.01746083,1784064.567,613621.112
wb,wb_OH_overpass,62.53,-86.62065176,36.01452485,1784947.202,612546.7184
wb,wb_OH_off_start,62.69,-86.61845475,36.0127891,1785592.949,611910.7655
wb,wb_OH_off_end,62.75,-86.61803001,36.0124066,1785717.686,611770.7347
